,id,text,dayOfWeek,time,lang,retweet_count,like_count,reply_count,quote_count,cashtags,hashtags,mention_count,images,author_id
82,1487574011269816320,"@Shaatir_ Hello #NFT family
Now all my work is on  #tezos blockchain
5/5
2.5 #XTZ 
https://t.co/DZnDlL9zcG
September 11🫂🫂 https://t.co/jED05ZjeOX",6,23:50:56,en,1,0,0,0,[],"['NFT', 'tezos', 'XTZ']",0,"['https://t.co/DZnDlL9zcG', 'https://t.co/jED05ZjeOX']",1903376078
83,1487573983956508672,"Shout out to 10 Academy athletes, coaches, and families for winning the 11’s Kingdom Classic!  These littles are ballers.
#TrainWinRepeat💪🏾🏆💙🖤 https://t.co/4OqVWZ3K4h",6,23:50:50,en,0,10,0,0,[],['TrainWinRepeat'],0,['https://t.co/4OqVWZ3K4h'],2684633854
84,1487573980001230856,Added a new member to the family…Moxy https://t.co/CBMh8RoADt,6,23:50:49,en,0,13,2,0,[],[],0,"['https://t.co/CBMh8RoADt', 'https://t.co/CBMh8RoADt']",900756630459097088
85,1487573956580155396,@Jaystatiion4 @elonmusk What a dad.. here you go son.. how about your own planet to remember me.. everyone in the Elon Family gets a planet from the family trust.. when you turn 30 son the planet will be yours.. i need to train you young boy-oh we are the family who owns the galaxy.. spread your wings https://t.co/7fgjTfT3Y8,6,23:50:43,en,0,0,0,0,[],[],0,['https://t.co/7fgjTfT3Y8'],1412915028726931460
86,1487573949693276161,".@robthishandle the Menendez family hides from NJ problems! How many criminal places have I mentioned for years and no one cared for my family? Why do I get hate crime for reporting a clone of Michelle Obama, Chad Wolf, Christopher Wray and Hunter Biden at Amazon Carteret NJ? https://t.co/TBs6QhiD2M",6,23:50:42,en,0,0,0,0,[],[],0,"['https://t.co/TBs6QhiD2M', 'https://t.co/TBs6QhiD2M', 'https://t.co/TBs6QhiD2M', 'https://t.co/TBs6QhiD2M']",953730403529056257
87,1487573917447299072,@sqingularity you at the family event 💀 https://t.co/WLoZ81MMpG,6,23:50:34,en,0,1,1,0,[],[],0,['https://t.co/WLoZ81MMpG'],877491763312709632
88,1487573892780544002,"Family outing in Rigby, Idaho https://t.co/cfCDnlAniM",6,23:50:28,en,0,5,0,0,[],[],0,['https://t.co/cfCDnlAniM'],1241447226737487875
89,1487573885151289348,"#TrumpRally tonight soon - only 50 tweets in the last hour according to twitter. Praying for the divine protection of Donald J Trump, his family, supporters, and all those watching. Also praying for his political opposition. Ideas so good they're mandatory https://t.co/Sxw5IF0gNC",6,23:50:26,en,0,3,0,0,[],['TrumpRally'],0,['https://t.co/Sxw5IF0gNC'],1482273232925433858
90,1487573883251089409,"Truly a national effort with some severe penalties, even by today’s standards. But I know my family members signed on to fight what they saw as a great threat, even if it meant cutting down on some of the finer things in life, and maybe a little of the essential stuff, too. https://t.co/ztdXXJF1zr",6,23:50:26,en,0,4,1,0,[],[],0,['https://t.co/ztdXXJF1zr'],381829918
91,1487573877681115137,"I got a package from my dad today that included some old family artefacts from WWII. Interesting to me are these ration coupons issued in the U.S. during the war by the government. Something about it resonates with me today, in particular. 

Different time. https://t.co/utcjYh5YdX",6,23:50:24,en,0,6,1,0,[],[],0,['https://t.co/utcjYh5YdX'],381829918
92,1487573864829837314,"Hm, so let me get this straight- he has McCarthy levels of distaste for Communism, yet his whole family was involved in the communist regime that destabilised the country and imprisoned and killed many innocent people including intellectuals and religious figures. Very confusing. https://t.co/91Y0m8qh6Y",6,23:50:21,en,1,8,3,0,[],[],0,['https://t.co/91Y0m8qh6Y'],1158006669462388736
93,1487573857146118144,18. She admitted that she uses Rudy for money and fame. https://t.co/Qx2yTU6h3d,6,23:50:19,en,0,2,1,0,[],[],0,"['https://t.co/Qx2yTU6h3d', 'https://t.co/Qx2yTU6h3d', 'https://t.co/Qx2yTU6h3d']",1423262464154669059
94,1487573848979427328,"If you ate breakfast today, thank a farmer. If you bought that breakfast at a store, thank a trucker. If you ate it in peace with your family, thank a veteran.  #TruckersForFreedom2022 #grateful#TruckersForFreedom2022 https://t.co/6E7zL1Unh5",6,23:50:18,en,0,2,1,0,[],['TruckersForFreedom2022'],0,['https://t.co/6E7zL1Unh5'],20932641
95,1487573843883573251,Finally - open the door to a place you and your family will love to call home. #newhome #homesforsale  https://t.co/LE9XtXOmUG https://t.co/WOFnfpjT46,6,23:50:16,en,0,0,0,0,[],"['newhome', 'homesforsale']",0,"['https://t.co/LE9XtXOmUG', 'https://t.co/WOFnfpjT46']",1051805597249744897
96,1487573841169760258,Not posting anything on my timeline about Tom retiring When I read it or hear it from him than that's it! I'm saying he's playing for one more year Love you Tom due what's best for you and your family #Brady https://t.co/6o6Zr7L2KC,6,23:50:16,en,1,14,3,0,[],['Brady'],0,"['https://t.co/6o6Zr7L2KC', 'https://t.co/6o6Zr7L2KC', 'https://t.co/6o6Zr7L2KC', 'https://t.co/6o6Zr7L2KC']",546961396
97,1487573805610504198,"I am excited to announce that I have committed to Mckendree University to further my academic and soccer career! I first want to thank God, and am so thankful for my family, friends and coaches who have supported me in the journey to finding my home. I can’t wait to be a bearcat! https://t.co/cKHHfcTxOy",6,23:50:07,en,5,96,18,8,[],[],0,['https://t.co/cKHHfcTxOy'],971544137794248706
98,1487573790049529858,In a New World/Law in Order my beautiful yet SO Hurting family members worldwide all magical Species &amp; their SO beautiful BABIES/YOUTH including magical #Insects #Animals #Fish &amp; their SO  @lopezobrador_ @KattenLaw @DrexelKlineCSO @jlugiessen @PresidentISL Cont https://t.co/GlfFyLlkpd,6,23:50:03,en,1,2,0,0,[],"['Insects', 'Animals', 'Fish']",0,"['https://t.co/GlfFyLlkpd', 'https://t.co/GlfFyLlkpd', 'https://t.co/GlfFyLlkpd', 'https://t.co/GlfFyLlkpd']",1050125829114609667
99,1487573788199817217,adding @pamsiekiss drawing to the hall of fame https://t.co/qDLwAKO1OE,6,23:50:03,en,2,5,0,1,[],[],0,"['https://t.co/qDLwAKO1OE', 'https://t.co/qDLwAKO1OE', 'https://t.co/qDLwAKO1OE']",1460280395413348357
